ID,CTYNAME,SEX,AGEGRP,IMPRACE,Asian,Black,Latino,Native American,Other,White,RESPOP,,
AM11,Anoka County,M,1,1,0,0,0,0,0,1,8292,,A
AM12,Anoka County,M,1,2,0,1,0,0,0,0,888,,
AM13,Anoka County,M,1,3,0,0,0,1,0,0,56,,
AM14,Anoka County,M,1,4,1,0,0,0,0,0,617,,
AM15,Anoka County,M,1,5,0,0,0,0,1,0,3,,
AM16,Anoka County,M,1,6,0,0,0,0,0,0,292,,
AM17,Anoka County,M,1,7,0,0,0,1,0,1,100,,
AM18,Anoka County,M,1,8,1,0,0,0,0,1,217,,
AM19,Anoka County,M,1,9,0,0,0,0,1,1,2,,
AM110,Anoka County,M,1,10,0,1,0,1,0,0,6,,
AM111,Anoka County,M,1,11,1,1,0,0,0,0,6,,
AM112,Anoka County,M,1,12,0,1,0,0,1,0,1,,
AM113,Anoka County,M,1,13,1,0,0,1,0,0,1,,
AM115,Anoka County,M,1,15,1,0,0,0,1,0,1,,
AM116,Anoka County,M,1,16,0,1,0,1,0,1,22,,
AM117,Anoka County,M,1,17,1,1,0,0,0,1,9,,
AM118,Anoka County,M,1,18,0,1,0,0,1,1,1,,
AM119,Anoka County,M,1,19,0,0,0,1,0,1,3,,
AM122,Anoka County,M,1,22,1,1,0,1,0,0,2,,
AM126,Anoka County,M,1,26,1,1,0,1,0,1,2,,
AM127,Anoka County,M,1,27,0,1,0,1,1,1,1,,
AM21,Anoka County,M,2,1,0,0,0,0,0,1,9149,,
AM22,Anoka County,M,2,2,0,1,0,0,0,0,821,,
AM23,Anoka County,M,2,3,0,0,0,1,0,0,68,,
AM24,Anoka County,M,2,4,1,0,0,0,0,0,654,,
AM25,Anoka County,M,2,5,0,0,0,0,1,0,2,,
AM26,Anoka County,M,2,6,0,0,0,0,0,0,276,,
AM27,Anoka County,M,2,7,0,0,0,1,0,1,83,,
AM28,Anoka County,M,2,8,1,0,0,0,0,1,181,,
AM29,Anoka County,M,2,9,0,0,0,0,1,1,4,,
AM210,Anoka County,M,2,10,0,1,0,1,0,0,5,,
AM211,Anoka County,M,2,11,1,1,0,0,0,0,9,,
AM213,Anoka County,M,2,13,1,0,0,1,0,0,4,,
AM215,Anoka County,M,2,15,1,0,0,0,1,0,2,,
AM216,Anoka County,M,2,16,0,1,0,1,0,1,29,,
AM217,Anoka County,M,2,17,1,1,0,0,0,1,7,,
AM219,Anoka County,M,2,19,0,0,0,1,0,1,4,,
AM221,Anoka County,M,2,21,1,0,0,0,1,1,3,,
AM226,Anoka County,M,2,26,1,1,0,1,0,1,2,,
AM31,Anoka County,M,3,1,0,0,0,0,0,1,9956,,
AM32,Anoka County,M,3,2,0,1,0,0,0,0,735,,
AM33,Anoka County,M,3,3,0,0,0,1,0,0,73,,
AM34,Anoka County,M,3,4,1,0,0,0,0,0,605,,
AM35,Anoka County,M,3,5,0,0,0,0,1,0,4,,
AM36,Anoka County,M,3,6,0,0,0,0,0,0,230,,
AM37,Anoka County,M,3,7,0,0,0,1,0,1,91,,
AM38,Anoka County,M,3,8,1,0,0,0,0,1,127,,
AM39,Anoka County,M,3,9,0,0,0,0,1,1,3,,
AM310,Anoka County,M,3,10,0,1,0,1,0,0,8,,
AM311,Anoka County,M,3,11,1,1,0,0,0,0,8,,
AM313,Anoka County,M,3,13,1,0,0,1,0,0,2,,
AM315,Anoka County,M,3,15,1,0,0,0,1,0,1,,
AM316,Anoka County,M,3,16,0,1,0,1,0,1,20,,
AM317,Anoka County,M,3,17,1,1,0,0,0,1,6,,
AM319,Anoka County,M,3,19,0,0,0,1,0,1,8,,
AM321,Anoka County,M,3,21,1,0,0,0,1,1,1,,
AM322,Anoka County,M,3,22,1,1,0,1,0,0,1,,
AM326,Anoka County,M,3,26,1,1,0,1,0,1,2,,
AM41,Anoka County,M,4,1,0,0,0,0,0,1,9916,,
AM42,Anoka County,M,4,2,0,1,0,0,0,0,701,,
AM43,Anoka County,M,4,3,0,0,0,1,0,0,100,,
AM44,Anoka County,M,4,4,1,0,0,0,0,0,533,,
AM45,Anoka County,M,4,5,0,0,0,0,1,0,8,,
AM46,Anoka County,M,4,6,0,0,0,0,0,0,169,,
AM47,Anoka County,M,4,7,0,0,0,1,0,1,101,,
AM48,Anoka County,M,4,8,1,0,0,0,0,1,93,,
AM49,Anoka County,M,4,9,0,0,0,0,1,1,2,,
AM410,Anoka County,M,4,10,0,1,0,1,0,0,10,,
AM411,Anoka County,M,4,11,1,1,0,0,0,0,8,,
AM413,Anoka County,M,4,13,1,0,0,1,0,0,2,,
AM415,Anoka County,M,4,15,1,0,0,0,1,0,1,,
AM416,Anoka County,M,4,16,0,1,0,1,0,1,24,,
AM417,Anoka County,M,4,17,1,1,0,0,0,1,4,,
AM419,Anoka County,M,4,19,0,0,0,1,0,1,2,,
AM421,Anoka County,M,4,21,1,0,0,0,1,1,2,,
AM422,Anoka County,M,4,22,1,1,0,1,0,0,2,,
AM426,Anoka County,M,4,26,1,1,0,1,0,1,2,,
AM51,Anoka County,M,5,1,0,0,0,0,0,1,7841,,
AM52,Anoka County,M,5,2,0,1,0,0,0,0,492,,
AM53,Anoka County,M,5,3,0,0,0,1,0,0,84,,
AM54,Anoka County,M,5,4,1,0,0,0,0,0,454,,
AM55,Anoka County,M,5,5,0,0,0,0,1,0,6,,
AM56,Anoka County,M,5,6,0,0,0,0,0,0,74,,
AM57,Anoka County,M,5,7,0,0,0,1,0,1,70,,
AM58,Anoka County,M,5,8,1,0,0,0,0,1,65,,
AM59,Anoka County,M,5,9,0,0,0,0,1,1,5,,
AM510,Anoka County,M,5,10,0,1,0,1,0,0,7,,
AM511,Anoka County,M,5,11,1,1,0,0,0,0,4,,
AM512,Anoka County,M,5,12,0,1,0,0,1,0,1,,
AM516,Anoka County,M,5,16,0,1,0,1,0,1,8,,
AM518,Anoka County,M,5,18,0,1,0,0,1,1,1,,
AM519,Anoka County,M,5,19,0,0,0,1,0,1,2,,
AM524,Anoka County,M,5,24,1,1,0,0,1,0,1,,
AM526,Anoka County,M,5,26,1,1,0,1,0,1,1,,
AM61,Anoka County,M,6,1,0,0,0,0,0,1,9042,,
AM62,Anoka County,M,6,2,0,1,0,0,0,0,506,,
AM63,Anoka County,M,6,3,0,0,0,1,0,0,71,,
AM64,Anoka County,M,6,4,1,0,0,0,0,0,526,,
AM65,Anoka County,M,6,5,0,0,0,0,1,0,4,,
